canonical_source_id,source_type,volume_count,occurrences,administrations,item_kinds,path_text,volumes
national-archives-and-records-administration-college-park-ma-1aaf3023,unpublished,18,18,carter; reagan,container; source,"National Archives and Records Administration, College Park, Maryland",frus1977-80v01; frus1977-80v02; frus1977-80v08; frus1977-80v09; frus1977-80v09Ed2; frus1977-80v11p1; frus1977-80v12; frus1977-80v13; frus1977-80v16; frus1977-80v17p1; frus1977-80v17p3; frus1977-80v18; frus1977-80v23; frus1977-80v28; frus1977-80v29; frus1977-80v30; frus1981-88v03; frus1981-88v13
department-of-state-dc3ccf46,unpublished,17,17,carter; reagan,container; source,Department of State,frus1977-80v03; frus1977-80v06; frus1977-80v08; frus1977-80v13; frus1977-80v17p3; frus1977-80v21; frus1977-80v22; frus1977-80v23; frus1977-80v26; frus1977-80v27; frus1977-80v28; frus1981-88v03; frus1981-88v04; frus1981-88v05; frus1981-88v06; frus1981-88v13; frus1981-88v41
central-intelligence-agency-f21435c6,unpublished,16,16,carter; reagan,container,Central Intelligence Agency,frus1977-80v02; frus1977-80v06; frus1977-80v12; frus1977-80v13; frus1977-80v15; frus1977-80v17p1; frus1977-80v17p3; frus1977-80v19; frus1977-80v23; frus1977-80v24; frus1977-80v27; frus1977-80v29; frus1977-80v30; frus1981-88v04; frus1981-88v05; frus1981-88v06
washington-national-records-center-suitland-maryland-a4fcc9d6,unpublished,16,16,carter; reagan,container,"Washington National Records Center, Suitland, Maryland",frus1977-80v08; frus1977-80v09; frus1977-80v09Ed2; frus1977-80v12; frus1977-80v13; frus1977-80v16; frus1977-80v17p1; frus1977-80v26; frus1977-80v27; frus1977-80v28; frus1977-80v29; frus1981-88v04; frus1981-88v05; frus1981-88v06; frus1981-88v11; frus1981-88v13
jimmy-carter-presidential-library-atlanta-georgia-20d6de72,unpublished,15,15,carter,container,"Jimmy Carter Presidential Library, Atlanta, Georgia",frus1977-80v06; frus1977-80v08; frus1977-80v09; frus1977-80v09Ed2; frus1977-80v11p1; frus1977-80v12; frus1977-80v15; frus1977-80v16; frus1977-80v17p3; frus1977-80v18; frus1977-80v19; frus1977-80v21; frus1977-80v23; frus1977-80v26; frus1977-80v28
central-intelligence-agency-office-of-the-director-of-centra-917bcd81,unpublished,12,12,carter; reagan,container,Central Intelligence Agency > Office of the Director of Central Intelligence,frus1977-80v02; frus1977-80v12; frus1977-80v15; frus1977-80v19; frus1977-80v23; frus1977-80v24; frus1981-88v04; frus1981-88v05; frus1981-88v06; frus1981-88v24; frus1981-88v38; frus1981-88v44p1
national-security-council-352b7e49,unpublished,12,12,carter; reagan,container,National Security Council,frus1977-80v06; frus1977-80v11p1; frus1977-80v12; frus1977-80v15; frus1977-80v17p1; frus1977-80v23; frus1977-80v28; frus1977-80v29; frus1981-88v04; frus1981-88v05; frus1981-88v06; frus1981-88v11
department-of-state-washington-d-c-98ae825f,unpublished,11,11,carter; reagan,container,"Department of State, Washington, D.C.",frus1977-80v01; frus1977-80v02; frus1977-80v11p1; frus1977-80v12; frus1977-80v15; frus1977-80v17p1; frus1977-80v19; frus1977-80v24; frus1977-80v29; frus1977-80v30; frus1981-88v11
new-york-times-8bb7b548,published,11,11,carter; reagan,source,New York Times.,frus1977-80v11p1; frus1977-80v12; frus1977-80v15; frus1977-80v26; frus1977-80v27; frus1981-88v01; frus1981-88v04; frus1981-88v05; frus1981-88v10; frus1981-88v38; frus1981-88v44p1
department-of-state-washington-d-c-central-foreign-policy-fi-35eb6832,unpublished,10,10,bush-ghw; carter; reagan,container; source,"Department of State, Washington, D.C. > Central Foreign Policy File. These files have been transferred or will be transferred to the National Archives and Records Administration in College Park, Maryland.",frus1977-80v01; frus1977-80v02; frus1977-80v15; frus1977-80v17p1; frus1977-80v24; frus1977-80v29; frus1977-80v30; frus1981-88v01; frus1981-88v44p1; frus1989-92v31
