administration,volume_id,publication_state,source_extraction_method,source_alias_volume_id,title,has_epub_link,epub_url_inferred,pending_toc_entries,source_page_entries,document_members,source_note_count,pending_placeholder_count,error,epub_acquisition_errors,pdf_acquisition_errors,history_state_url,epub_url,pdf_url
carter,frus1977-80v01,published_epub,epub_html,,"Volume I, Foundations of Foreign Policy",false,true,0,112,163,130,0,https://history.state.gov/historicaldocuments/frus1977-80v01: HTTP 403,,,https://history.state.gov/historicaldocuments/frus1977-80v01,https://static.history.state.gov/frus/frus1977-80v01/ebook/frus1977-80v01.epub,
carter,frus1977-80v02,published_epub,epub_html,,"Volume II, Human Rights and Humanitarian Affairs",false,true,0,153,349,336,0,https://history.state.gov/historicaldocuments/frus1977-80v02: HTTP 403,,,https://history.state.gov/historicaldocuments/frus1977-80v02,https://static.history.state.gov/frus/frus1977-80v02/ebook/frus1977-80v02.epub,
carter,frus1977-80v03,published_epub,epub_html,,"Volume III, Foreign Economic Policy",false,true,0,60,356,343,0,https://history.state.gov/historicaldocuments/frus1977-80v03: HTTP 403,,,https://history.state.gov/historicaldocuments/frus1977-80v03,https://static.history.state.gov/frus/frus1977-80v03/ebook/frus1977-80v03.epub,
carter,frus1977-80v04,published_epub,epub_html,,"Volume IV, National Security Policy",false,true,0,35,222,219,0,https://history.state.gov/historicaldocuments/frus1977-80v04: HTTP 403,,,https://history.state.gov/historicaldocuments/frus1977-80v04,https://static.history.state.gov/frus/frus1977-80v04/ebook/frus1977-80v04.epub,
carter,frus1977-80v05,not_published_no_epub,,,"Volume V, European Security, 1977-1983",false,true,0,0,0,0,0,https://history.state.gov/historicaldocuments/frus1977-80v05: HTTP 403,https://static.history.state.gov/frus/frus1977-80v05/ebook/frus1977-80v05.epub: https://static.history.state.gov/frus/frus1977-80v05/ebook/frus1977-80v05.epub: HTTP 403,,https://history.state.gov/historicaldocuments/frus1977-80v05,https://static.history.state.gov/frus/frus1977-80v05/ebook/frus1977-80v05.epub,
carter,frus1977-80v06,published_epub,epub_html,,"Volume VI, Soviet Union",false,true,0,53,315,309,0,https://history.state.gov/historicaldocuments/frus1977-80v06: HTTP 403,,,https://history.state.gov/historicaldocuments/frus1977-80v06,https://static.history.state.gov/frus/frus1977-80v06/ebook/frus1977-80v06.epub,
carter,frus1977-80v07,not_published_no_epub,,,"Volume VII, Poland, 1977-1981",false,true,0,0,0,0,0,https://history.state.gov/historicaldocuments/frus1977-80v07: HTTP 403,https://static.history.state.gov/frus/frus1977-80v07/ebook/frus1977-80v07.epub: https://static.history.state.gov/frus/frus1977-80v07/ebook/frus1977-80v07.epub: HTTP 403,,https://history.state.gov/historicaldocuments/frus1977-80v07,https://static.history.state.gov/frus/frus1977-80v07/ebook/frus1977-80v07.epub,
carter,frus1977-80v08,published_epub,epub_html,,"Volume VIII, Arab-Israeli Dispute, January 1977-August 1978",false,true,0,46,289,281,0,https://history.state.gov/historicaldocuments/frus1977-80v08: HTTP 403,,,https://history.state.gov/historicaldocuments/frus1977-80v08,https://static.history.state.gov/frus/frus1977-80v08/ebook/frus1977-80v08.epub,
carter,frus1977-80v09,published_pdf_source_alias,pdf_source_alias,frus1977-80v09Ed2,"Volume IX, Arab-Israeli Dispute, August 1978-December 1980",false,true,0,89,0,0,0,https://history.state.gov/historicaldocuments/frus1977-80v09: HTTP 403,,,https://history.state.gov/historicaldocuments/frus1977-80v09,https://static.history.state.gov/frus/frus1977-80v09/ebook/frus1977-80v09.epub,https://static.history.state.gov/frus/frus1977-80v09/pdf/frus1977-80v09.pdf
carter,frus1977-80v09Ed2,published_epub,epub_html,,"Volume IX, Arab-Israeli Dispute, August 1978-December 1980, Second, Revised Edition",false,true,0,89,413,387,0,https://history.state.gov/historicaldocuments/frus1977-80v09Ed2: HTTP 403,,,https://history.state.gov/historicaldocuments/frus1977-80v09Ed2,https://static.history.state.gov/frus/frus1977-80v09Ed2/ebook/frus1977-80v09Ed2.epub,
