source_entry_id,canonical_source_id,administration,volume_id,source_type,item_kind,item_text,path_text,source_page_url,source_extraction_method,source_alias_volume_id
frus1977-80v01-src-0001,department-of-state-washington-d-c-98ae825f,carter,frus1977-80v01,unpublished,container,"Department of State, Washington, D.C.","Department of State, Washington, D.C.",https://history.state.gov/historicaldocuments/frus1977-80v01/sources,epub_html,
frus1977-80v01-src-0002,department-of-state-washington-d-c-central-foreign-policy-fi-35eb6832,carter,frus1977-80v01,unpublished,container,"Central Foreign Policy File. These files have been transferred or will be transferred to the National Archives and Records Administration in College Park, Maryland.","Department of State, Washington, D.C. > Central Foreign Policy File. These files have been transferred or will be transferred to the National Archives and Records Administration in College Park, Maryland.",https://history.state.gov/historicaldocuments/frus1977-80v01/sources,epub_html,
frus1977-80v01-src-0003,department-of-state-washington-d-c-central-foreign-policy-fi-04c316a0,carter,frus1977-80v01,unpublished,source,P Reels,"Department of State, Washington, D.C. > Central Foreign Policy File. These files have been transferred or will be transferred to the National Archives and Records Administration in College Park, Maryland. > P Reels",https://history.state.gov/historicaldocuments/frus1977-80v01/sources,epub_html,
frus1977-80v01-src-0004,department-of-state-washington-d-c-central-foreign-policy-fi-3ea17c6e,carter,frus1977-80v01,unpublished,source,D Reels,"Department of State, Washington, D.C. > Central Foreign Policy File. These files have been transferred or will be transferred to the National Archives and Records Administration in College Park, Maryland. > D Reels",https://history.state.gov/historicaldocuments/frus1977-80v01/sources,epub_html,
frus1977-80v01-src-0005,department-of-state-washington-d-c-central-foreign-policy-fi-695cf123,carter,frus1977-80v01,unpublished,source,N Reels,"Department of State, Washington, D.C. > Central Foreign Policy File. These files have been transferred or will be transferred to the National Archives and Records Administration in College Park, Maryland. > N Reels",https://history.state.gov/historicaldocuments/frus1977-80v01/sources,epub_html,
frus1977-80v01-src-0006,department-of-state-washington-d-c-lot-files-these-files-hav-bfb8dd31,carter,frus1977-80v01,unpublished,source,"Lot Files. These files have been transferred or will be transferred to the National Archives and Records Administration in College Park, Maryland.","Department of State, Washington, D.C. > Lot Files. These files have been transferred or will be transferred to the National Archives and Records Administration in College Park, Maryland.",https://history.state.gov/historicaldocuments/frus1977-80v01/sources,epub_html,
frus1977-80v01-src-0007,department-of-state-washington-d-c-s-s-files-lot-84d241-08036501,carter,frus1977-80v01,unpublished,container,S/S Files: Lot 84D241,"Department of State, Washington, D.C. > S/S Files: Lot 84D241",https://history.state.gov/historicaldocuments/frus1977-80v01/sources,epub_html,
frus1977-80v01-src-0008,department-of-state-washington-d-c-s-s-files-lot-84d241-reco-82a36d18,carter,frus1977-80v01,unpublished,source,"Records of Secretary of State Cyrus Vance, 1977-1980","Department of State, Washington, D.C. > S/S Files: Lot 84D241 > Records of Secretary of State Cyrus Vance, 1977-1980",https://history.state.gov/historicaldocuments/frus1977-80v01/sources,epub_html,
frus1977-80v01-src-0009,national-archives-and-records-administration-college-park-ma-1aaf3023,carter,frus1977-80v01,unpublished,container,"National Archives and Records Administration, College Park, Maryland","National Archives and Records Administration, College Park, Maryland",https://history.state.gov/historicaldocuments/frus1977-80v01/sources,epub_html,
frus1977-80v01-src-0010,national-archives-and-records-administration-college-park-ma-6dd0b406,carter,frus1977-80v01,unpublished,source,"Record Group 59, General Records of the Department of State","National Archives and Records Administration, College Park, Maryland > Record Group 59, General Records of the Department of State",https://history.state.gov/historicaldocuments/frus1977-80v01/sources,epub_html,
frus1977-80v01-src-0011,national-archives-and-records-administration-college-park-ma-ba417f00,carter,frus1977-80v01,unpublished,source,Lot Files,"National Archives and Records Administration, College Park, Maryland > Lot Files",https://history.state.gov/historicaldocuments/frus1977-80v01/sources,epub_html,
frus1977-80v01-src-0012,national-archives-and-records-administration-college-park-ma-5f215d49,carter,frus1977-80v01,unpublished,container,D Files: Lot 81D113 (Entry P-14),"National Archives and Records Administration, College Park, Maryland > D Files: Lot 81D113 (Entry P-14)",https://history.state.gov/historicaldocuments/frus1977-80v01/sources,epub_html,
frus1977-80v01-src-0013,national-archives-and-records-administration-college-park-ma-37a77afc,carter,frus1977-80v01,unpublished,source,"Records of Deputy Secretary of State Warren Christopher, 1977-1980","National Archives and Records Administration, College Park, Maryland > D Files: Lot 81D113 (Entry P-14) > Records of Deputy Secretary of State Warren Christopher, 1977-1980",https://history.state.gov/historicaldocuments/frus1977-80v01/sources,epub_html,
frus1977-80v01-src-0014,national-archives-and-records-administration-college-park-ma-a209b7fb,carter,frus1977-80v01,unpublished,container,S/P Files: Lot 82D298 (Entry P-9),"National Archives and Records Administration, College Park, Maryland > S/P Files: Lot 82D298 (Entry P-9)",https://history.state.gov/historicaldocuments/frus1977-80v01/sources,epub_html,
frus1977-80v01-src-0015,national-archives-and-records-administration-college-park-ma-9e8d84ae,carter,frus1977-80v01,unpublished,source,"Records of the Director of the Policy Planning Staff Anthony Lake, 1977-1981","National Archives and Records Administration, College Park, Maryland > S/P Files: Lot 82D298 (Entry P-9) > Records of the Director of the Policy Planning Staff Anthony Lake, 1977-1981",https://history.state.gov/historicaldocuments/frus1977-80v01/sources,epub_html,
frus1977-80v01-src-0016,jimmy-carter-library-atlanta-georgia-f637f2cc,carter,frus1977-80v01,unpublished,container,"Jimmy Carter Library, Atlanta, Georgia","Jimmy Carter Library, Atlanta, Georgia",https://history.state.gov/historicaldocuments/frus1977-80v01/sources,epub_html,
frus1977-80v01-src-0017,jimmy-carter-library-atlanta-georgia-chief-of-staff-files-012217f7,carter,frus1977-80v01,unpublished,container,Chief of Staff Files,"Jimmy Carter Library, Atlanta, Georgia > Chief of Staff Files",https://history.state.gov/historicaldocuments/frus1977-80v01/sources,epub_html,
frus1977-80v01-src-0018,jimmy-carter-library-atlanta-georgia-chief-of-staff-files-of-6e61e8d6,carter,frus1977-80v01,unpublished,container,Office of the Chief of Staff,"Jimmy Carter Library, Atlanta, Georgia > Chief of Staff Files > Office of the Chief of Staff",https://history.state.gov/historicaldocuments/frus1977-80v01/sources,epub_html,
frus1977-80v01-src-0019,jimmy-carter-library-atlanta-georgia-chief-of-staff-files-of-42ac64b9,carter,frus1977-80v01,unpublished,source,Jordan’s Confidential Files,"Jimmy Carter Library, Atlanta, Georgia > Chief of Staff Files > Office of the Chief of Staff > Jordan’s Confidential Files",https://history.state.gov/historicaldocuments/frus1977-80v01/sources,epub_html,
